Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75
2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5
2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74
2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35
2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95
2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95
2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49
2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5
2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0
2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25
2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5
2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87
2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85
2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25
2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75
2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9
2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0
2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75
2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5
2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98
2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85
2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0
2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25
2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53
2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58
2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74
2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85
2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25
2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95
2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5
2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6
2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99
2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3
2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07
2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75
2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25
2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7
2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0
2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85
2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67
2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5
2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48
2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92
2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46
2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5
2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5
2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5
2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82
2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25
2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9
2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25
2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0
2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45
2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65
2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65
2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95
2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9
2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0
2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15
2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35
2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0
2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0
2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75
2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23
2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35
2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25
2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25
